Source,Target,Type,Id,Label,Weight
8,3,Undirected,159,,1
9,5,Undirected,160,,1
9,6,Undirected,161,,1
10,0,Undirected,162,,1
10,2,Undirected,163,,1
13,5,Undirected,164,,1
13,6,Undirected,165,,1
13,9,Undirected,166,,1
14,0,Undirected,167,,1
14,3,Undirected,168,,1
15,0,Undirected,169,,1
16,14,Undirected,170,,1
17,1,Undirected,171,,1
17,6,Undirected,172,,1
17,9,Undirected,173,,1
17,13,Undirected,174,,1
18,15,Undirected,175,,1
19,1,Undirected,176,,1
19,7,Undirected,177,,1
20,8,Undirected,178,,1
20,16,Undirected,179,,1
20,18,Undirected,180,,1
21,18,Undirected,181,,1
22,17,Undirected,182,,1
24,14,Undirected,183,,1
24,15,Undirected,184,,1
24,18,Undirected,185,,1
25,17,Undirected,186,,1
26,1,Undirected,187,,1
26,25,Undirected,188,,1
27,1,Undirected,189,,1
27,7,Undirected,190,,1
27,17,Undirected,191,,1
27,25,Undirected,192,,1
27,26,Undirected,193,,1
28,1,Undirected,194,,1
28,8,Undirected,195,,1
28,20,Undirected,196,,1
29,10,Undirected,197,,1
29,18,Undirected,198,,1
29,21,Undirected,199,,1
29,24,Undirected,200,,1
30,7,Undirected,201,,1
30,19,Undirected,202,,1
30,28,Undirected,203,,1
31,17,Undirected,204,,1
32,9,Undirected,205,,1
32,13,Undirected,206,,1
33,12,Undirected,207,,1
33,14,Undirected,208,,1
33,16,Undirected,209,,1
33,21,Undirected,210,,1
34,14,Undirected,211,,1
34,33,Undirected,212,,1
35,29,Undirected,213,,1
36,1,Undirected,214,,1
36,20,Undirected,215,,1
36,23,Undirected,216,,1
37,8,Undirected,217,,1
37,14,Undirected,218,,1
37,16,Undirected,219,,1
37,21,Undirected,220,,1
37,33,Undirected,221,,1
37,34,Undirected,222,,1
37,36,Undirected,223,,1
38,14,Undirected,224,,1
38,16,Undirected,225,,1
38,20,Undirected,226,,1
38,33,Undirected,227,,1
39,36,Undirected,228,,1
40,0,Undirected,229,,1
40,7,Undirected,230,,1
40,14,Undirected,231,,1
40,15,Undirected,232,,1
40,33,Undirected,233,,1
40,36,Undirected,234,,1
40,37,Undirected,235,,1
41,1,Undirected,236,,1
41,9,Undirected,237,,1
41,13,Undirected,238,,1
42,0,Undirected,239,,1
42,2,Undirected,240,,1
42,10,Undirected,241,,1
42,30,Undirected,242,,1
43,14,Undirected,243,,1
43,29,Undirected,244,,1
43,33,Undirected,245,,1
43,37,Undirected,246,,1
43,38,Undirected,247,,1
44,2,Undirected,248,,1
44,20,Undirected,249,,1
44,34,Undirected,250,,1
44,38,Undirected,251,,1
45,8,Undirected,252,,1
45,15,Undirected,253,,1
45,18,Undirected,254,,1
45,21,Undirected,255,,1
45,23,Undirected,256,,1
45,24,Undirected,257,,1
45,29,Undirected,258,,1
45,37,Undirected,259,,1
46,43,Undirected,260,,1
47,0,Undirected,261,,1
47,10,Undirected,262,,1
47,20,Undirected,263,,1
47,28,Undirected,264,,1
47,30,Undirected,265,,1
47,42,Undirected,266,,1
49,34,Undirected,267,,1
49,46,Undirected,268,,1
50,14,Undirected,269,,1
50,16,Undirected,270,,1
50,20,Undirected,271,,1
50,33,Undirected,272,,1
50,42,Undirected,273,,1
50,45,Undirected,274,,1
51,4,Undirected,275,,1
51,11,Undirected,276,,1
51,18,Undirected,277,,1
51,21,Undirected,278,,1
51,23,Undirected,279,,1
51,24,Undirected,280,,1
51,29,Undirected,281,,1
51,45,Undirected,282,,1
51,50,Undirected,283,,1
52,14,Undirected,284,,1
52,29,Undirected,285,,1
52,38,Undirected,286,,1
52,40,Undirected,287,,1
53,43,Undirected,288,,1
54,1,Undirected,289,,1
54,6,Undirected,290,,1
54,7,Undirected,291,,1
54,13,Undirected,292,,1
54,19,Undirected,293,,1
54,41,Undirected,294,,1
55,15,Undirected,295,,1
55,51,Undirected,296,,1
56,5,Undirected,297,,1
56,6,Undirected,298,,1
57,5,Undirected,299,,1
57,6,Undirected,300,,1
57,9,Undirected,301,,1
57,13,Undirected,302,,1
57,17,Undirected,303,,1
57,39,Undirected,304,,1
57,41,Undirected,305,,1
57,48,Undirected,306,,1
57,54,Undirected,307,,1
58,38,Undirected,308,,1
59,3,Undirected,309,,1
59,8,Undirected,310,,1
59,15,Undirected,311,,1
59,36,Undirected,312,,1
59,45,Undirected,313,,1
60,32,Undirected,314,,1
61,2,Undirected,315,,1
61,37,Undirected,316,,1
61,53,Undirected,317,,1
